-1	0.0383679
-0.95	0.0361958
-0.9	0.034643
-0.85	0.0277706
-0.8	0.0289512
-0.75	0.025126
-0.7	0.0212643
-0.65	0.0214205
-0.6	0.0178196
-0.55	0.0153991
-0.5	0.0150811
-0.45	0.0123701
-0.4	0.0193574
-0.35	0.0149764
-0.3	0.022937
-0.25	0.0227789
-0.2	0.0343798
-0.15	0.0330839
-0.1	0.0377889
-0.05	0.0504269
3.19189e-16	0.0529934
0.05	0.0597773
0.1	0.0572308
0.15	0.0803719
0.2	0.0780058
0.25	0.102835
0.3	0.110352
0.35	0.107345
0.4	0.120163
0.45	0.122314
0.5	0.141912
0.55	0.159802
0.6	0.178824
0.65	0.188059
0.7	0.179701
0.75	0.209609
0.8	0.252607
0.85	0.212358
0.9	0.35824
0.95	0.177708
