-1	68.5271
-0.95	68.1276
-0.9	67.8668
-0.85	69.1491
-0.8	67.1648
-0.75	68.2225
-0.7	66.0786
-0.65	66.8164
-0.6	67.1911
-0.55	66.6588
-0.5	66.3842
-0.45	66.8483
-0.4	66.7674
-0.35	65.9485
-0.3	65.9107
-0.25	64.1631
-0.2	64.1035
-0.15	63.1587
-0.1	62.1765
-0.05	63.5186
3.19189e-16	61.6517
0.05	61.487
0.1	60.188
0.15	58.6646
0.2	58.476
0.25	58.3561
0.3	56.2306
0.35	54.5943
0.4	52.7946
0.45	54.7394
0.5	52.877
0.55	49.4044
0.6	53.1907
0.65	47.2892
0.7	40.1639
0.75	46.218
0.8	39.5525
0.85	43.7264
0.9	44.9078
0.95	34.9202
